NumberOfSections,SizeOfOptionalHeader,Characteristics,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionEntropy
5,224,8462,6,0,4096,5259264,0,4585,4096,268435456,1.400996250690013
4,224,271,6,0,49152,557056,0,32888,4096,4194304,4.2578397126400604
3,224,271,6,0,28672,16384,0,10726,4096,4194304,4.673266078560919
8,224,386,2,23,77824,370176,246784,15803,4096,4194304,4.367133884428852
3,224,258,11,0,84992,838656,0,93006,8192,4194304,4.045040145877
4,224,271,6,0,49152,561152,0,33880,4096,4194304,4.766428238148674
4,224,259,8,0,313344,858112,0,251782,4096,4194304,6.636732829547436
6,224,271,6,0,225280,241664,0,226176,4096,4194304,3.891553893347004
3,224,258,11,0,435200,25088,0,443086,8192,4194304,3.70474602143274
3,224,258,10,0,876544,4096,49152,924368,53248,4194304,3.5605189189183406
3,224,34,48,0,657920,2048,0,662982,8192,4194304,3.713596176670672
3,224,34,48,0,652288,22016,0,660302,8192,4194304,4.360411291531959
5,224,8462,6,0,4096,5259264,0,4585,4096,268435456,1.400996250690013
4,224,271,7,0,159744,102400,0,56638,4096,4194304,4.827198858822853
7,224,783,2,56,8704,189952,512,4416,4096,4194304,3.498147111255823
4,224,259,9,0,323072,294912,0,324832,4096,4194304,4.741730951606167
4,224,258,10,0,6144,268800,0,9072,4096,4194304,4.323570959076329
3,224,271,5,10,78848,52224,0,47184,4096,4194304,5.165343603169653
4,224,271,6,0,254976,28672,0,257184,4096,4194304,5.360148877574184
4,224,270,6,0,13824,92672,0,21982,8192,4194304,4.554447099028868
6,224,258,10,0,144384,107520,0,41910,4096,4194304,6.168055922701125
5,224,271,6,0,23552,119808,1024,12577,4096,4194304,4.77384272396486
5,224,270,6,0,28672,24576,0,29959,4096,926351360,4.712389752023874
3,224,271,6,0,45056,16384,0,14124,4096,4194304,4.771936792835871
4,224,271,6,0,57344,32768,0,30318,4096,4194304,3.670554016894921
3,224,271,6,0,65536,45056,0,39447,4096,4194304,4.585921212360053
3,224,271,7,0,20480,4096,24576,48736,28672,4849664,3.5686850949586084
3,224,258,8,0,601600,118784,0,609738,8192,4194304,4.915583824484807
6,224,258,8,0,13824,10368,0,1392,768,65536,5.207246506719708
4,224,258,8,0,24576,42496,0,15088,4096,4194304,6.065087663130153
5,224,258,10,0,7680,16896,0,5936,4096,4194304,4.419653579119271
5,224,258,11,0,64512,284160,0,7680,4096,4194304,5.233804681205763
5,224,8462,6,0,4096,5259264,0,4585,4096,268435456,1.400996250690013
4,224,271,6,0,49152,557056,0,32888,4096,4194304,4.2578397126400604
3,224,271,6,0,28672,16384,0,10726,4096,4194304,4.673266078560919
8,224,386,2,23,77824,370176,246784,15803,4096,4194304,4.367133884428852
3,224,258,11,0,84992,838656,0,93006,8192,4194304,4.045040145877
4,224,271,6,0,49152,561152,0,33880,4096,4194304,4.766428238148674
4,224,259,8,0,313344,858112,0,251782,4096,4194304,6.636732829547436
6,224,271,6,0,225280,241664,0,226176,4096,4194304,3.891553893347004
3,224,258,11,0,435200,25088,0,443086,8192,4194304,3.70474602143274
3,224,258,10,0,876544,4096,49152,924368,53248,4194304,3.5605189189183406
3,224,34,48,0,657920,2048,0,662982,8192,4194304,3.713596176670672
3,224,34,48,0,652288,22016,0,660302,8192,4194304,4.360411291531959
5,224,8462,6,0,4096,5259264,0,4585,4096,268435456,1.400996250690013
4,224,271,7,0,159744,102400,0,56638,4096,4194304,4.827198858822853
7,224,783,2,56,8704,189952,512,4416,4096,4194304,3.498147111255823
4,224,259,9,0,323072,294912,0,324832,4096,4194304,4.741730951606167
4,224,258,10,0,6144,268800,0,9072,4096,4194304,4.323570959076329
3,224,271,5,10,78848,52224,0,47184,4096,4194304,5.165343603169653
4,224,271,6,0,254976,28672,0,257184,4096,4194304,5.360148877574184
4,224,270,6,0,13824,92672,0,21982,8192,4194304,4.554447099028868
6,224,258,10,0,144384,107520,0,41910,4096,4194304,6.168055922701125
5,224,271,6,0,23552,119808,1024,12577,4096,4194304,4.77384272396486
5,224,270,6,0,28672,24576,0,29959,4096,926351360,4.712389752023874
3,224,271,6,0,45056,16384,0,14124,4096,4194304,4.771936792835871
4,224,271,6,0,57344,32768,0,30318,4096,4194304,3.670554016894921
3,224,271,6,0,65536,45056,0,39447,4096,4194304,4.585921212360053
3,224,271,7,0,20480,4096,24576,48736,28672,4849664,3.5686850949586084
3,224,258,8,0,601600,118784,0,609738,8192,4194304,4.915583824484807
6,224,258,8,0,13824,10368,0,1392,768,65536,5.207246506719708
4,224,258,8,0,24576,42496,0,15088,4096,4194304,6.065087663130153
5,224,258,10,0,7680,16896,0,5936,4096,4194304,4.419653579119271
5,224,258,11,0,64512,284160,0,7680,4096,4194304,5.233804681205763
